Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_BC2AAAPC,1,BC2AAAPC,
BZ1,Buzzer_CUI_CPT-9019S-SMT,1,Buzzer,
C1,0805,1,100nF,
C10,0805,1,1uF/50V,
C11,0805,1,4.7uF/50V,
C12,0805,1,1uF/50V,
C13,0805,1,10uf,
C14,0805,1,1uF/50V,
C15,0805,1,47uF,
C16,0805,1,10uf,
C17,0805,1,10uf,
C18,0805,1,10uf,
C19,0805,1,10uf,
C2,0805,1,10uf,
C20,CAPAE660X630N,1,47uF,
C3,0805,1,10uF,
C4,0805,1,4.7uf/50V,
C5,0805,1,4.7uf/50V,
C6,0805,1,1uF/50V,
C7,0805,1,1uF/50V,
C8,0805,1,1uF/50V,
C9,0805,1,1uF/50V,
"D1, D2",SOT-23,2,200mA/70V,
"D3, D4, D5, D6",SOT95P237X111-3N,4,BAT54CLT1G,
FPC1,ER-CON24HT-1-REV,1,ER-CON24HT-1,
J1,Badgelife-SAOv169-BADGE-2x3,1,SAO_1,
J10,TF101AP3,1,Micro_SD_Card,
J2,Badgelife-SAOv169-BADGE-2x3,1,SAO_2,
J3,Badgelife-SAOv169-BADGE-2x3,1,SAO_3,
J4,Badgelife-SAOv169-BADGE-2x3,1,SAO_4,
J5,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,QWiic/STEMMA QT 1,
J6,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,QWiic/STEMMA QT 2,
J7,PinHeader_1x05_P2.00mm_Vertical,1,I2C Header/BG,
J8,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,RPi SWD (JST-SH),
J9,PinHeader_1x03_P2.00mm_Vertical,1,RPi SWD,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SAO1_GPIO0,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SAO1_GPIO1,
JP3,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,1,SolderJumper_3_Bridged12,
L1,L_Taiyo-Yuden_NR-40xx_HandSoldering,1,10uH NRS4018T100MDGJ,
LED1,1206,1,BLUE,
"Q1, Q2, Q4",SOT-23,3,DMG2301L,
Q3,SOT-23,1,DMN3731U-7,
Q5,SOT-323_SC-70,1,BSS138PW,
R1,0805,1,120k,
R10,0805,1,100,
R11,0805,1,100,
R2,0805,1,10k,
R3,0805,1,10k,
R4,0805,1,120k,
R5,0805,1,1k,
R6,0805,1,120k,
R7,0805,1,10k,
R8,0603,1,0.47,
R9,0805,1,620k,
"S1_A1, S2_B1, S3_C1, S4_UP1, S5_DWN1, S6_RST1",KMR442NGLFS_CNK,6,KMR442NGLFS,
"SW_BRD_PWR1, SW_SAO_PWR1",SW-SMD_G-SWITCH_MK-12C02-G015,2,SW_SPDT,
U1,SOP65P490X110-8N,1,PCF85063ATT,
U2,MODULE_SC0918,1,SC0918,
"U3, U4, U5",SOT-89-3,3,WL9005P3-33,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,SC32S-7PF20PPM ,
